name,brand,manufacturer,description,barcode,price,cost_price,selling_price,mrp,category_id,image,uom,primitive_quantity,units_per_packaging,expiry_date,status
iPhone 15 Pro,Apple,Foxconn,Latest flagship smartphone with A17 Pro chip,,999.99,800,999.99,1099.99,1,https://vsprod.vijaysales.com/media/catalog/product/2/2/220946-image1_2.jpg?optimize=medium&fit=bounds&height=500&width=500,piece,1,1,31-12-2026,active
Samsung Galaxy S24,Samsung,Samsung Electronics,High-end Android smartphone,,899.99,700,899.99,999.99,1,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQwGqyc6aU4oPcOChNswzOhaLDAKnEh5bJRchvKloTGyFDAjxRzifj7Sax6oWl4rx0S4BVNKWJKwkbbGCTlUhbqYr10Ix8cQv0K2dbHpe-ee8ztuZyNhH6BJHeN9tZapTaGaRT_SkA&usqp=CAc,piece,1,1,31-10-2026,active
MacBook Pro M3,Apple,Apple Inc,Professional laptop with M3 chip,,1999.99,1600,1999.99,2199.99,1,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/m/f/0/-original-imaguw3hswqadydy.jpeg?q=70&crop=false,piece,1,1,,active
Dell XPS 15,Dell,Dell Technologies,Premium Windows laptop,,1499.99,1200,1499.99,1599.99,1,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcRFGMtZq6KJTHBHnzpuTK5af5Xnc5Lr0vi1awfMoK2v4bcii_NZUP7HHHiuto3kYUzBKsmQwa8SgG4PuV_XAMAy2tJR_XgMpUTi3di2svd0uk6JfMkHjrUC,piece,1,1,,active
Sony WH-1000XM5,Sony,Sony Corporation,Noise-cancelling headphones,,349.99,250,349.99,399.99,1,https://m.media-amazon.com/images/I/51aXvjzcukL._SX522_.jpg,piece,1,1,,active
Coca Cola,Coca Cola,Coca Cola Company,Carbonated soft drink,5449000000996,2.99,1.5,2.99,3.49,2,https://www.bbassets.com/media/uploads/p/l/40262162_2-coca-cola-soft-drink-zero-sugar-no-calories.jpg,bottle,1,24,31-12-2025,active
Lay's Chips,Lay's,PepsiCo,Potato chips - Classic flavor,2840011715006,3.49,2,3.49,3.99,2,https://m.media-amazon.com/images/I/710dKk4a0cL.jpg,pack,1,20,30-06-2025,active
Nike Air Max,Nike,Nike Inc,Running shoes for comfort,,129.99,80,129.99,149.99,2,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTkwx8cWDvJXJuiZwKPxFJR6NZTXT5GFK5L_3GFDmRzYbjhN1xZo9ZydxRNyWoPx0XZC_kzvxTObncNpJvaZMGWkqZZdzam_iD5J6BlnM-VLs9jRPwXfHUSbE-nLAv8bZY6LjQSzQ&usqp=CAc,pair,1,1,,active
Adidas Ultraboost,Adidas,Adidas AG,High-performance running shoes,,179.99,110,179.99,199.99,2,"https://assets.adidas.com/images/h_840,f_auto,q_auto,fl_lossy,c_fill,g_auto/a24e004506e64bffa73a83acb2d9555c_9366/ULTRABOOST_1.0_SHOES_Blue_ID5883_01_standard.jpg",pair,1,1,,active
Levi's 501 Jeans,Levi's,Levi Strauss & Co,Classic straight fit jeans,,69.99,40,69.99,79.99,2,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcTwl8-GerjimDElxaadGJYwGm_Luz6g2l061dI4_gQb5egUUFfhDp4xDcXz8xJiyxW39DVQfAPT5kAlIjXqWcvBMsJ02fipc6N-6ieqkjmttbf4yC1Sl7vb,piece,1,1,,active
